Pipeline Dia (inch),Pipeline Length (km),Total EPRR Cost (Mil RM)
6,1.601,2.230955
6,1.528,2.229894
18,2.311,2.308721
12,2.268,2.273693
8,2.205,2.250432
18,125.085,9.018328
6,1.559,2.230344
8,0.397,2.215391
6,1.461,2.22892
6,1.815,2.234065
6,1.815,2.234065
10,1.83,2.252033
8,1.83,2.243155
6,1.83,2.234283
8,2.95,2.264903
10,2.85,2.276815
12,15.104,2.654653
12,20.719,2.825329
10,0.61,2.222466
10,0.61,2.222466
10,0.61,2.222466
6,0.824,2.219669
12,0.903,2.233934
10,0.79,2.226823
6,0.808,2.219436
10,0.671,2.223942
10,0.671,2.223942
10,24.748,2.822401
12,22.7,2.88613
10,0.5,2.219804
10,0.493,2.219635
10,0.491,2.219586
12,22.719,2.886714
6,0.651,2.217157
6,1.068,2.223212
6,1.068,2.223212
6,0.61,2.216562
10,13.898,2.548838
14,13.753,2.68309
14,13.753,2.68309
14,13.753,2.68309
6,0.6,2.216417
7.5,4.815,2.295347
30,11.474,3.071673
6,0.6,2.216417
12,0.61,2.225419
12,0.61,2.225419
12,0.61,2.225419
12,0.61,2.225419
12,0.61,2.225419
12,0.61,2.225419
12,0.61,2.225419
12,0.61,2.225419
20,0.61,2.23724
24,1,2.265875
8,0.61,2.219514
8,0.61,2.219514
8,18.803,2.577392
6,1.655,2.23174
8,1.655,2.23976
8,1.655,2.23976
6,1.655,2.23174
6,1.655,2.23174
6,1.655,2.23174
6,8.995,2.338943
6,8.995,2.338943
6,8.995,2.338943
6,8.995,2.338943
6,8.995,2.338943
6,8.995,2.338943
6,3.226,2.254596
6,3.226,2.254596
6,3.226,2.254596
6,3.225,2.254582
6,3.225,2.254582
6,3.225,2.254582
6,3.226,2.254596
16,53.132,4.457534
18,54.9,4.859828
10,0.61,2.222466
10,0.596,2.222127
10,0.597,2.222151
6,1.65,2.231667
18,85.9,6.59033
36,8.285,2.952617
6,4.963,2.279924
6,4.963,2.279924
6,4.963,2.279924
6,4.914,2.279209
6,4.914,2.279209
6,4.914,2.279209
6,3.665,2.260992
6,3.665,2.260992
6,3.665,2.260992
6,3.665,2.260992
6,3.665,2.260992
6,3.665,2.260992
6,8.864,2.33702
8.5,2.771,2.26479
12,20.2,2.809451
6,4.94,2.279589
6,3.772,2.262552
6,3.4,2.257131
6,0.731,2.218318
8,0.731,2.221856
6,4.63,2.275064
6,4.63,2.275064
6,4.63,2.275064
6,1.438,2.228586
6,2.098,2.23818
6,2.098,2.23818
6,2.098,2.23818
8,2.584,2.257791
6,3.894,2.26433
6,3.331,2.256126
6,3.331,2.256126
6,3.331,2.256126
6,2.04,2.237337
10,0.432,2.218159
10,0.432,2.218159
10,0.432,2.218159
6,0.731,2.218318
8,10.7,2.416583
6,2.599,2.245468
18,31.679,3.673713
10,0.635,2.223071
10,0.635,2.223071
10,0.535,2.220651
18,32.377,3.707991
12,30.668,3.133764
10,13.9,2.548888
10,13.9,2.548888
10,13.9,2.548888
10,55,3.618721
10,55,3.618721
10,55,3.618721
32,119,15.326768
32,119,15.326768
28,57.313,6.781701
28,188.539,22.491699
24,4.8,2.489731
18,20.81,3.150945
12,22.178,2.870079
18,0.6,2.233847
36,125.6,18.656398
12,20.968,3.105712
32,65.501,8.459963
14,9.739,2.542276
10,1.4,2.241603
10,2,2.25616
30,9.953,2.953468
12.8,9.981,2.520904
12.8,9.981,2.520904
12.8,9.981,2.520904
12.8,9.981,2.520904
12.8,9.981,2.520904
28,0.751,2.258656
30,3.92,2.495682
36,125,18.551577
28,3.4,2.440255
36,121,17.859213
36,121,17.859213
10,23.48,2.832628
7.5,4.815,2.295347
38,115,17.926034
30,155.6,19.373489
14,9.355,4.161294
14,6.759,2.438838
8,5.268,2.310053
8,3.996,2.285254
6,8.864,2.33702
6,8.864,2.33702
8,7.8,2.359583
10,7.8,2.397879
32,75.85,9.664833
4,1.65,2.223676
4,1.7,2.22416
6,0.366,2.213021
6,0.374,2.213138
6,1.256,2.225942
6,10.218,2.356907
8,1.838,2.24331
6,1.902,2.23533
12,9.882,2.498123
10,1.174,2.236125
12,28.816,3.075766
8,2.446,2.255111
8,2.467,2.255519
10,1.174,2.236125
10,1.174,2.236125
12,1.223,2.243242
10,1.223,2.237312
10,1.224,2.237337
10,1.226,2.237385
6,1.896,2.235243
8,1.9,2.244513
10,2.1,2.258588
8,1.9,2.244513
10,1.757,2.250262
10,1.757,2.250262
10,1.757,2.250262
8,1.757,2.241739
16,3.8,2.355662
16,1.173,2.253169
8,9.946,2.401735
6,3.876,2.264068
12,12.668,2.58137
12,13.35,2.60184
6,2.357,2.241947
10,0.648,2.223386
10,0.648,2.223386
10,0.63,2.22295
16,10.054,2.603503
16,31.446,3.492126
24,9.927,2.798877
6,1.229,2.22555
6,1.754,2.233179
8,1.254,2.231987
10,0.702,2.224693
10,0.692,2.224451
10,0.695,2.224523
16,28.638,3.371875
10,10.87,2.473627
10,0.61,2.222466
10,0.61,2.222466
10,0.61,2.222466
12,20.771,2.826921
8,7.274,2.349275
6,7.614,2.318693
16,7.343,2.495404
18,18,3.019154
10,20.754,2.72096
6,1.214,2.225332
6,18.803,2.483827
6,0.671,2.217448
6,0.769,2.21887
6,1.382,2.227773
